item_id,范畴,次范畴,学习能力,项目,目标,备注（观察？）,评估辅助物品,评估方法,成功标准,最小月龄,最大月龄
1-2-0-5-5,小肌肉,小肌肉双手配合运用,双手配合运用,一只手固定物品，另一只手操作物品,一只手固定纸卡片，同时用另一只手把文具夹夹在纸卡片上,暂无,略为紧的文具夹3个、纸卡1张,示范把1个文具夹夹在纸卡上，把纸卡和余下的文具夹递给儿童，对儿童说：「你也夹一夹吧。」,把2个文具夹夹在纸卡上,36,48
1-2-0-6-0,小肌肉,小肌肉双手配合运用,双手配合运用,一只手固定物品，另一只手操作物品,一只手固定玩具，同时用另一只手扭动玩具发条（小）,暂无,暂无,暂无,暂无,36,48
1-2-0-6-1,小肌肉,小肌肉双手配合运用,双手配合运用,一只手固定物品，另一只手操作物品,一只手扶着碗，另一只手拿着餐具吃饭,暂无,暂无,暂无,暂无,48,60
1-2-0-6-2,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,拧开玩具小酒桶,暂无,暂无,暂无,暂无,24,36
1-2-0-6-3,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,穿珠,暂无,绳子1条、直径1.5厘米的珠子3粒,把绳子和珠子放在桌子上，对儿童说：「你穿珠吧！」,一只手拿着珠子，另一只手握着绳子，把绳子穿过珠子后，双手交换拿物料，最少完成穿2粒珠子,24,36
1-2-0-6-4,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,双手前后互搓洗手,暂无,暂无,暂无,暂无,24,36
1-2-0-7-0,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,一只手拿布，另一只手拿系扣物，协调地用双手解开系扣物,暂无,暂无,暂无,暂无,36,48
1-2-0-7-1,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,一只手拿布，另一只手拿系扣物，协调地用双手扣合系扣物,暂无,钮扣布1块、直径2厘米的钮扣4粒,示范扣上第一粒钮扣，对儿童说：「你把下面的钮扣扣好吧。」,扣上2粒钮扣,36,48
1-2-0-8-0,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,一只手拿稳衣物边绿，另一手把衣物如：袜丶衣袖翻过来,暂无,暂无,暂无,暂无,36,48
1-2-0-8-1,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,一只手拿着洞洞板，另一只手拿着绳子穿孔,暂无,洞板1块、绳子1条,示范一只手拿洞板；另一只手拿绳子，把绳子穿过洞板的孔位，然后双手交换拉绳和固定洞板的动作，重复穿过洞板的孔位2个，对儿童说：「请你像我这样继续穿下去。」,一只手拿洞板，另一只手拿着绳子穿孔，双手交换拉绳和固定洞板的动作，重复穿过最少2个孔位,48,60
1-2-0-8-2,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,双手反方向地拧干毛巾,暂无,暂无,暂无,暂无,48,60
1-2-0-8-3,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,双手各拿绳子的一头儿·交替地打简单的绳结,暂无,暂无,暂无,暂无,60,72
1-2-0-8-4,小肌肉,小肌肉双手配合运用,双手配合运用,双手以不同的动作操作物品,绑鞋带儿,暂无,暂无,暂无,暂无,60,72
1-3-0-0-0,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起2块积木,暂无,积木2块(边长2.5厘米),示范搭起2块积木，然后把积木平放在桌子上，对儿童说：「到你搭积木了。」,答起2块积不,12,24
1-3-0-0-1,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起3-4 块积木,暂无,暂无,暂无,暂无,12,24
1-3-0-1-0,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起 5-6 块积木,暂无,暂无,暂无,暂无,12,24
1-3-0-1-1,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起7块积木,暂无,积木7块(边长2.5厘米),把积木放在桌子上，示范搭起2块积木，然后把积木平放在桌子上，对儿童说：「到你搭积木了。」（提示儿童不要用另一只手固定积木，但可以随意用左手或者右手搭积木。）,搭起7块积木,24,36
1-3-0-1-2,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起 8-9 块积木,暂无,暂无,暂无,暂无,24,36
1-3-0-1-3,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起 10 块积木,暂无,积木10块(边长2.5厘米),完成EH2后，请儿童继续搭积木，对儿童说：「搭高这里的积木。」,搭起10块积木,36,48
1-3-0-1-4,小肌肉,小肌肉手眼协调,手眼协调,搭高物品,搭起11-12 块积木,暂无,暂无,暂无,暂无,48,60
1-3-0-1-5,小肌肉,小肌肉手眼协调,手眼协调,穿珠子,穿大珠子,暂无,暂无,暂无,暂无,12,24
1-3-0-1-6,小肌肉,小肌肉手眼协调,手眼协调,穿珠子,穿中型珠子,暂无,绳子、珠粒4粒(直径约1.5厘米、珠孔约0.5厘米),示范穿珠动作，对儿童说：「穿好这3粒珠子。」,拿着绳子穿过珠子的孔位，完成3粒（儿童自己完成交手拨珠粒的动作或者在大人协助下完成均可),24,36
1-3-0-1-7,小肌肉,小肌肉手眼协调,手眼协调,穿珠子,穿小珠子,暂无,细绳子、珠粒（直径约1厘米、珠孔约0.25厘米),示范穿珠动作，对儿童说：「穿好这3粒珠子。」,拿着绳子穿过珠子的孔位，完成3粒（儿童自己完成交手拨珠粒的动作或者在大人协助下完成均可),36,48
1-3-0-1-8,小肌肉,小肌肉手眼协调,手眼协调,穿珠子,穿微型珠子 (直径约 0.25 厘米),暂无,细绳子、珠粒(直径约0.25厘米),示范穿珠动作，对儿童说：「穿好这3粒珠子。」,拿着绳子穿过珠子的孔位，完成3粒（儿童自己完成交手拨珠粒的动作或者在大人协助下完成均可),48,60
1-3-0-1-9,小肌肉,小肌肉手眼协调,手眼协调,准确地拿取物品,从洞板中拿出小柱条,暂无,小柱条(直径约1.5厘米）、洞板,示范把小柱条从洞板里取出，对儿童说：「到你取了。」,准确地从洞板里拿取小柱条,12,24
1-3-0-1-10,小肌肉,小肌肉手眼协调,手眼协调,准确地拿取物品,从小钉板中取出小钉子,暂无,暂无,暂无,暂无,12,24
1-3-0-1-11,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把物品或者小玩具放进容器里,暂无,暂无,暂无,暂无,12,24
1-3-0-2-0,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把小珠子放进小瓶子里,暂无,小珠子或小铃铛、小瓶子,示范把小珠子放进瓶子里，摇晃小瓶子，把小珠子放在儿童的手前面，对儿童说：「你也放进去吧。」（评估员可以扶着瓶子让儿童对准再放进去),准确地把小珠粒放进药水瓶里,12,24
1-3-0-2-1,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把大圆柱（直径约3厘米）对准位置放进相对的柱板上,暂无,暂无,暂无,暂无,12,24
1-3-0-2-2,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把正方形柱（边长约 3厘米）对准位置放进相对的柱板上,暂无,暂无,暂无,暂无,12,24
1-3-0-2-3,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把三角形柱（边长约 3厘米)对准位置放进相对的柱板上,暂无,暂无,暂无,暂无,12,24
1-3-0-2-4,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把形状块对准位置放进形状板上（约3-4个形状块),暂无,暂无,暂无,暂无,12,24
1-3-0-2-5,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把小钱币放进钱箱里,暂无,小钱币4个、钱箱1个,示范把小钱币放进桌子上的钱箱(钱箱的孔位是竖着的)里，对儿童说：「到你放钱了。」,把小钱币放进孔位竖着的钱箱里,12,24
1-3-0-2-6,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,把小钉子放进小钉板的洞里,暂无,暂无,暂无,暂无,24,36
1-3-0-3-0,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,对准位置拼相连拼图,暂无,暂无,暂无,暂无,36,48
1-3-0-3-1,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,准确地把简单的图形贴在相对的图案上，如：三角形、正方形(图形边长约5厘米),暂无,印着边长5厘米的正方形、圆形和等边三角形的纸1张、与纸上形状大小相同的图形、浆糊笔[物料与S3相同],示范用浆糊笔涂抹图形，再准确地把图形贴在图形纸上，完成3个图形，把物料放在儿童面前，对儿童说：「请你把图形对准位置，贴在图形纸上，不要贴在界线外面了！」儿童如果不会使用浆糊笔，评估员可以替儿童涂上浆糊或胶水，要求儿童把图形纸贴好，不能贴在界线外面。,准确地把图形纸贴在对应的图案上(不能超出界线0.3厘米）,48,60
1-3-0-3-2,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,对准匙孔位置，把钥匙插进钥匙玩具内,暂无,暂无,暂无,暂无,48,60
1-3-0-3-3,小肌肉,小肌肉手眼协调,手眼协调,准确地摆放物品,准确地把比较复杂的图形贴在相对的图案上,暂无,暂无,暂无,暂无,60,72
1-4-0-0-0,小肌肉,小肌肉握笔写话,握笔写画,握笔模式,用掌心握笔,暂无,白纸、蜡笔,把纸和笔放在儿童面前，对儿童说： 「请你在纸上画画」，观察他的握笔方法,用掌心或者手指握笔涂画,0,24
1-4-0-0-1,小肌肉,小肌肉握笔写话,握笔写画,握笔模式,用手指握笔,暂无,暂无,暂无,暂无,13,36
1-4-0-0-2,小肌肉,小肌肉握笔写话,握笔写画,握笔模式,用前三指粗略地握笔,暂无,白纸、铅笔,把纸和笔放在儿童面前，对儿童说： 「请你在纸上画画」，观察他的握笔方法,用前三指握笔涂画,13,36
1-4-0-0-3,小肌肉,小肌肉握笔写话,握笔写画,握笔模式,用前三指灵活地握笔,暂无,暂无,暂无,暂无,49,72
1-4-0-0-4,小肌肉,小肌肉握笔写话,握笔写画,涂画意识,玩手指画，在白纸上涂鸦,暂无,暂无,暂无,暂无,0,24
1-4-0-0-5,小肌肉,小肌肉握笔写话,握笔写画,涂画意识,在白纸或神奇画板上模仿成人涂画,暂无,暂无,暂无,暂无,0,24
1-4-0-0-6,小肌肉,小肌肉握笔写话,握笔写画,涂画意识,自己握笔在纸上涂鸦,暂无,白纸、蜡笔,把纸和笔放在儿童面前，对儿童说： 「请你在纸上画画」，观察他涂鸦,在白纸上涂画,0,24
1-4-0-0-7,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟画线条「|」,暂无,白纸、粗蜡笔,根据儿童的方向示范在白纸上画线条，然后对儿童说： 「像我这样画。」,摹拟画线条 「｜」（线条最少长5厘米，竖线向左或向右倾斜少于20°),13,36
1-4-0-0-8,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟回线条「－」,暂无,白纸、粗蜡笔,根据儿童的方向示范在白纸上画线条，然后对儿童说： 「像我这样画。」,摹拟画线条 「-」（线条最少长5厘米，横线向上或向下倾斜少于20°),13,36
1-4-0-0-9,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟圆简单图形「 o」,暂无,暂无,暂无,暂无,13,36
1-4-0-0-10,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟困线条「十」,暂无,暂无,暂无,暂无,13,36
1-4-0-0-11,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟困线条「／」「＼ 」,暂无,暂无,暂无,暂无,13,36
1-4-0-0-12,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟画简单图形「口」,暂无,暂无,暂无,暂无,13,36
1-4-0-0-13,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟回线条「×」,暂无,暂无,暂无,暂无,25,48
1-4-0-1-0,小肌肉,小肌肉握笔写话,握笔写画,摹拟画线条和简单图形,摹拟画简单图形「△」,暂无,暂无,暂无,暂无,25,48
1-4-0-1-1,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在2.5厘米直线隧道内画线不出界线,暂无,暂无,暂无,暂无,13,36
1-4-0-1-2,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,将距离5厘米的两个圆点连起来,暂无,铅笔和纸张（纸上印着相距5厘米的两个圆点）,把笔和纸放在儿童面前，示范把横着的2点连起来，对儿童说： 「请你把2个圆点连起来。」,在2次尝试中，儿童至少一次能画线把2个圆点连起来。线的开始和结束，离圆点不超过0.3厘米,25,48
1-4-0-1-3,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在1厘米直线隧道内画线不出界线,暂无,铅笔和纸张（纸上印着两条相距1厘米的直线）,示范在2条直线之间画线不出界线，对儿童说： 「在这里画线，不要画在直线外面。」(2条线横着排列）,在1厘米宽的隧道范围里画线不出界线,25,48
1-4-0-2-0,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在半厘米直线隧道内画线不出界线,暂无,暂无,暂无,暂无,25,48
1-4-0-2-1,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在直的虚线上画线不出界线,暂无,暂无,暂无,暂无,25,48
1-4-0-2-2,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在横的虚线上回线不出界线,暂无,暂无,暂无,暂无,25,48
1-4-0-2-3,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在2厘米曲线隧道内画线不出界线,暂无,暂无,暂无,暂无,37,48
1-4-0-2-4,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在l厘米曲线隧道内面线不出界线,暂无,铅笔和纸张（纸上印着两条相距1厘米的曲线）,把纸和笔放在儿童面前 ，对儿童说：「在这里画线，不要画在曲线外面。」（曲线横着排列）,在1厘米宽的曲线隧道里画线不出界线,37,60
1-4-0-2-5,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在半厘米曲线隧道内画线不出界线,暂无,暂无,暂无,暂无,49,72
1-4-0-2-6,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在弯曲的虚线上画线不出界线,暂无,铅笔和纸张（纸上印着约4厘米长的弯曲虚线）,把纸张和笔放在儿童面前，对儿童说：「沿着虚线来画，不要画在虚线外面。」（虚线横着排列）,沿着虚线画线，出界线不能超过2次,37,60
1-4-0-2-7,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,完成点线画（约10点）,暂无,暂无,暂无,暂无,49,72
1-4-0-2-8,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在简单的迷宫练习纸上画线不出界线,暂无,暂无,暂无,暂无,37,60
1-4-0-2-9,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在边长2.5厘米的方格内写字不出界线,暂无,暂无,暂无,暂无,37,60
1-4-0-2-10,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在边长2厘米的方格内写字不出界线,暂无,方格纸（方格边长2厘米）、铅笔、字卡（花、狗、过、乐、飞）,把方格纸和笔放在儿童面前，把字卡逐张递给儿童，对儿童说：「把这些字逐个抄在方格纸上，不要出网格线。」,在2厘米的方格里写字，写5个字出网格线不超过2次,49,72
1-4-0-2-11,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,在边长1.5厘米的方格内写字不出界线,暂无,暂无,暂无,暂无,49,72
1-4-0-2-12,小肌肉,小肌肉握笔写话,握笔写画,控笔能力,完成点线画（多于20点）,暂无,暂无,暂无,暂无,49,72
1-4-0-2-13,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡仿画「 o」,暂无,白纸、铅笔、图形卡,把图形卡、白纸和铅笔放在儿童面前，对儿童说：「请你在纸上画这个图形。」,按照图形卡仿画「 o」（圆圈的接驳口相距不超过 1厘米）,37,60
1-4-0-2-14,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡仿画「＋」,暂无,暂无,暂无,暂无,37,60
1-4-0-2-15,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡仿画「／」「＼」,暂无,暂无,暂无,暂无,37,60
1-4-0-3-0,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡仿画「口」,暂无,暂无,暂无,暂无,37,60
1-4-0-3-1,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡彷画「×」,暂无,暂无,暂无,暂无,37,60
1-4-0-3-2,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡仿画「△」,暂无,白纸、铅笔、图形卡,把图形卡、白纸和铅笔放在儿童面前，对儿童说：「请你在纸上画这个图形。」,按照图形卡仿画「△」（有3条直线边和3个角）,37,60
1-4-0-3-3,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,抄写简单汉字,暂无,方格纸（边长约2.5厘米的方格子）、铅笔、字卡,把宇卡、方格纸和笔放在儿童面前，指着左边第一行的第一个格子，对儿童说：「 请你从这里开始，一个格子接着一个格子顺序抄写这几个字。」评估员把手指从左边第一格逐格向右移，然后指着第二行的第一个格再向右移。评估员每次只给儿童1张字卡,在方格纸上抄写其中4个汉字,37,60
1-4-0-4-0,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,抄写数目字1-9,暂无,方格纸（边长约2.5厘米的方格子）、铅笔、字卡,把宇卡 、白纸和笔放在儿童面前，对儿童说：「请你写这9个数字。」（数字没有按顺序排列）,在方格纸上抄写数字1-9,37,60
1-4-0-4-1,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,抄写大写英文字母,暂无,暂无,暂无,暂无,37,60
1-4-0-4-2,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,抄写小写英文字a-z,暂无,暂无,暂无,暂无,49,72
1-4-0-4-3,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,按图形卡仿回「?」,暂无,暂无,暂无,暂无,49,72
1-4-0-4-4,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,抄写复杂的汉字,暂无,此项目和 WlO一起评估,此项目和W10一起评估,在方格纸上抄写其中4个复杂的汉字,49,72
1-4-0-4-5,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,仿画较复杂的图案,暂无,暂无,暂无,暂无,49,72
1-4-0-4-6,小肌肉,小肌肉握笔写话,握笔写画,仿画图形和抄写文字,从黑板中抄写图案或文字,暂无,暂无,暂无,暂无,49,72
1-4-0-4-7,小肌肉,小肌肉握笔写话,握笔写画,依照不同格式写画,在空格纸写画,暂无,暂无,暂无,暂无,37,60
1-4-0-5-0,小肌肉,小肌肉握笔写话,握笔写画,依照不同格式写画,在空格纸上一格接一格地顺序横写，从左至右地抄写,暂无,方格纸（边长约2.5厘米的方格子）、铅笔、字卡（日、人、上、田、中、手、月、石、足、牙,在评估 「 抄写简单汉字 」 项目W13时，同时评估，但儿童要先完成日、人、上、田、中，然后再写其他的字,沿着方格纸从左到右、从上到下顺序抄写全部的汉字,37,60
1-4-0-5-1,小肌肉,小肌肉握笔写话,握笔写画,依照不同格式写画,在横线上由左至右一行接一行地抄写（字数至少有0.2厘米）,暂无,暂无,暂无,暂无,37,60
1-4-0-5-2,小肌肉,小肌肉握笔写话,握笔写画,依照不同格式写画,用英文线条簿抄写,暂无,暂无,暂无,暂无,49,72
1-4-0-6-0,小肌肉,小肌肉握笔写话,握笔写画,涂颜色,有范围的概念，在图案上填色，大致不出界线,暂无,暂无,暂无,暂无,25,48
1-4-0-6-1,小肌肉,小肌肉握笔写话,握笔写画,涂颜色,在图案内填色不出界,暂无,图案纸、蜡笔,把纸和笔放在儿童面前，对儿童说： 「请在图画上涂颜色，涂满整个苹果，不要涂到苹果外面。」,在简单的图案里填满颜色达8成以上，出界线不能超过0.5厘米,37,60
1-4-0-6-2,小肌肉,小肌肉握笔写话,握笔写画,涂颜色,在复杂图案填上不同颜色,暂无,暂无,暂无,暂无,49,72
1-4-0-7-0,小肌肉,小肌肉握笔写话,握笔写画,画图画,画出简单图型,暂无,暂无,暂无,暂无,37,60
1-4-0-7-1,小肌肉,小肌肉握笔写话,握笔写画,画图画,画出较复杂图型,暂无,暂无,暂无,暂无,49,60
1-4-0-7-2,小肌肉,小肌肉握笔写话,握笔写画,画图画,摹拟画出成人所描绘的图画,暂无,暂无,暂无,暂无,49,72
1-4-0-7-3,小肌肉,小肌肉握笔写话,握笔写画,画图画,自己画出一般物品或生活情景,暂无,暂无,暂无,暂无,49,72
1-4-0-7-4,小肌肉,小肌肉握笔写话,握笔写画,画图画,按主题画图画,暂无,暂无,暂无,暂无,49,72
1-5-0-0-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,把玩橡皮泥及其工具,用刀把橡皮泥切开,暂无,橡皮泥、塑料刀,示范把条状的橡皮泥切开，再把条状的像皮泥和刀递给儿童，对儿童说：「你也切吧。」,双手配合地用塑料刀把橡皮泥大致平均地切开2份,13,36
1-5-0-0-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,把玩橡皮泥及其工具,把橡皮泥搓成条状,暂无,橡皮泥,示范在桌子上把橡皮泥搓成条状，再把部分橡皮泥递给儿童，对儿童说：「 你也搓香肠吧。 」,把橡皮泥搓成条状,25,48
1-5-0-0-2,小肌肉,小肌肉文具和用品操作,文具和用品操作,把玩橡皮泥及其工具,把散放在桌面上的小碎块橡皮泥搓成一大块,暂无,暂无,暂无,暂无,25,48
1-5-0-1-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,把玩橡皮泥及其工具,把橡皮泥搓成小球,暂无,暂无,暂无,暂无,25,48
1-5-0-1-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,把玩橡皮泥及其工具,使用不同工具压印图形,暂无,暂无,暂无,暂无,37,72
1-5-0-1-2,小肌肉,小肌肉文具和用品操作,文具和用品操作,把玩橡皮泥及其工具,把橡皮泥搓成碗状,暂无,暂无,暂无,暂无,49,72
1-5-0-2-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,在协助下用手指把浆糊涂在约8厘米大小的图形上,暂无,暂无,暂无,暂无,0,24
1-5-0-2-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,用手指把浆糊涂在约5厘米大小的图形上,暂无,暂无,暂无,暂无,13,36
1-5-0-2-2,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,把涂上浆糊的图形纸粗略地贴在纸上,暂无,暂无,暂无,暂无,13,36
1-5-0-2-3,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,用浆糊笔把浆糊涂在图形上,暂无,印着边长5厘米的正方形、圆形和等边三角形的纸1张、大小形同的图形、浆糊笔,示范用浆糊笔涂在图形上，准确地把图形贴在图形纸上，完成3个图形。把物料放在儿童面前，对儿童说： 「 请你把图形对准位置，贴在图形纸上，不要贴在图形外面。」,使用浆糊笔，把 3个图形贴在图形纸上。各边界位置不能超过 0.3厘米,25,48
1-5-0-2-4,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,把胶水涂在图形上,暂无,暂无,暂无,暂无,25,48
1-5-0-2-5,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,把白胶浆涂在图形上,暂无,暂无,暂无,暂无,25,48
1-5-0-2-6,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,把一般贴纸撕下来，并且贴在纸上,暂无,暂无,暂无,暂无,25,48
1-5-0-2-7,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,用浆糊笔涂图形纸，然后贴在相配的图案上,暂无,暂无,暂无,暂无,25,48
1-5-0-2-8,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,用万能胶把纸贴在板上,暂无,暂无,暂无,暂无,37,60
1-5-0-2-9,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,用胶带把纸贴稳妥,暂无,暂无,暂无,暂无,37,60
1-5-0-2-10,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,使用浆糊和美术毛笔做图工,暂无,暂无,暂无,暂无,37,60
1-5-0-2-11,小肌肉,小肌肉文具和用品操作,文具和用品操作,黏贴物品,从胶带座中取出胶带,暂无,暂无,暂无,暂无,49,72
1-5-0-2-12,小肌肉,小肌肉文具和用品操作,文具和用品操作,撕纸,粗略地撕纸,暂无,暂无,暂无,暂无,0,24
1-5-0-2-13,小肌肉,小肌肉文具和用品操作,文具和用品操作,撕纸,沿着针孔虚线（直线）撕纸,暂无,暂无,暂无,暂无,13,36
1-5-0-2-14,小肌肉,小肌肉文具和用品操作,文具和用品操作,撕纸,撕出简单的图形,暂无,暂无,暂无,暂无,49,72
1-5-0-3-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,撕纸,沿着直线折痕撕纸,暂无,暂无,暂无,暂无,49,72
1-5-0-3-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,印画,使用原子印印画,暂无,暂无,暂无,暂无,0,24
1-5-0-3-2,小肌肉,小肌肉文具和用品操作,文具和用品操作,印画,使用印台、印章或者蔬果做印画,暂无,印章1个、印台1个、纸张,示范把印章压在印台上，再印在纸上，说： 「 看，我在印画呢。」把印章和印台递给儿童，对儿童说： 「 你也印吧。 」,用印台印出清晰的图案,25,48
1-5-0-3-3,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,用两只手开合剪刀,暂无,暂无,暂无,暂无,0,24
1-5-0-4-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,用 一只手拿剪刀,暂无,暂无,暂无,暂无,13,36
1-5-0-5-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,开合剪刀,暂无,暂无,暂无,暂无,13,36
1-5-0-5-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,在纸上剪1小刀,暂无,暂无,暂无,暂无,13,36
1-5-0-5-2,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,剪断5厘米宽的纸条,暂无,5厘米宽的纸数张、安全剪刀1把,示范如何剪纸，说：「 看，我在剪纸呢。」然后把纸和剪刀递给儿童，对儿童说： 「 你也剪纸吧。」（有需要的话可以把剪刀放在儿童手上）,把5厘米宽的纸条剪开,25,48
1-5-0-5-3,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,把15厘米宽的纸剪成两半,暂无,暂无,暂无,暂无,25,48
1-5-0-5-4,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,沿着纸上的直线剪8厘米长,暂无,画着8厘米长直线的的纸2张、安全剪刀1把,把纸和剪刀递给儿童，说：「 现在你沿着这条直线把纸剪开。」如果儿童不明白，评估员可以示范沿着线剪开部分纸，然后请儿童再继续试着剪,自己沿着直线剪开纸张，任何一边以不超过0.25厘米为标准,37,60
1-5-0-5-5,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,沿着纸上的直线剪15厘米长,暂无,暂无,暂无,暂无,37,60
1-5-0-6-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,沿着纸上的曲线剪,暂无,暂无,暂无,暂无,37,60
1-5-0-6-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,剪出四方形,暂无,暂无,暂无,暂无,37,60
1-5-0-7-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,剪出三角形,暂无,暂无,暂无,暂无,37,60
1-5-0-8-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,剪出圆形,暂无,安全剪刀1把、画着直径5厘米的圆形的纸,把剪刀和纸递给儿童，对儿童说： 「 你沿着这条圆线剪个圆形吧。」,自己剪出圆形，以任何一边不超过0.25厘米为标准,49,72
1-5-0-9-0,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,剪出简单图形,暂无,暂无,暂无,暂无,49,72
1-5-0-9-1,小肌肉,小肌肉文具和用品操作,文具和用品操作,使用剪刀,剪出复杂图形,暂无,暂无,暂无,暂无,49,72
